desc,jaccard,rbo,kendall_tau
HawkesRanker L=121 p=0.1 beta=2.2025033411712255e-07,0.4001587578391071,0.4123923749376395,0.41096270371302607
HawkesRanker L=121 p=0.5 beta=6.63019571242678e-08,0.37854586733833134,0.3994718297006652,0.40199211247891775
HawkesRanker L=122 p=0.01 beta=4.368900070192103e-07,0.39662744713990944,0.41132368236202965,0.41187169163259607
HawkesRanker L=122 p=0.1 beta=2.1844500350960515e-07,0.3996597724830234,0.4119410091196069,0.41041437787496376
HawkesRanker L=122 p=0.5 beta=6.575849845931479e-08,0.37824992179772454,0.3996501936180553,0.4026148824601554
HawkesRanker L=123 p=0.01 beta=4.3333805574263135e-07,0.396502868487139,0.4112098532408124,0.41195471638807046
HawkesRanker L=123 p=0.1 beta=2.1666902787131567e-07,0.3999313266061677,0.41214348933642103,0.41063825194641645
HawkesRanker L=123 p=0.5 beta=6.522387652062117e-08,0.37824992179772454,0.3995853226269079,0.4026595197157409
HawkesRanker L=124 p=0.01 beta=4.298433940027714e-07,0.39651441609793836,0.41137290035961444,0.41246839764237664
HawkesRanker L=124 p=0.1 beta=2.149216970013857e-07,0.399678644799077,0.41229726210322,0.41133433887004733
HawkesRanker L=124 p=0.5 beta=6.469787751642261e-08,0.3781808750490141,0.39941467005596554,0.4022725775155711
HawkesRanker L=125 p=0.01 beta=4.264046468507492e-07,0.3966111281552112,0.41152435440935137,0.41171306944352853
HawkesRanker L=125 p=0.1 beta=2.132023234253746e-07,0.39997731550410814,0.41279621995807736,0.4131997941012103
HawkesRanker L=125 p=0.5 beta=6.418029449629123e-08,0.37780227838066477,0.3993492191756879,0.402325316097216
HawkesRanker L=126 p=0.01 beta=4.230204829868544e-07,0.39651199746375976,0.4113868694342559,0.41095177889042284
HawkesRanker L=126 p=0.1 beta=2.115102414934272e-07,0.40017209977023627,0.4126207649658169,0.41186754378662227
HawkesRanker L=126 p=0.5 beta=6.3670927079654e-08,0.37776273606197047,0.39902360662069436,0.40191233890640377
HawkesRanker L=127 p=0.01 beta=4.1968961304207604e-07,0.3965162400475077,0.41151756270872125,0.4102768440486027
HawkesRanker L=127 p=0.1 beta=2.0984480652103802e-07,0.4005057869260159,0.4125535901989902,0.4125819241179568
HawkesRanker L=127 p=0.5 beta=6.316958119713704e-08,0.3778587569561171,0.3995609806132611,0.4024433749161505
HawkesRanker L=128 p=0.01 beta=4.164107879401848e-07,0.39680182530774344,0.41153839340177784,0.40959727096305876
HawkesRanker L=128 p=0.1 beta=2.082053939700924e-07,0.40004765848202173,0.4123381556072216,0.4124064261609624
HawkesRanker L=128 p=0.5 beta=6.26760688440344e-08,0.3779647640232549,0.3995074097582034,0.4022587330679958
HawkesRanker L=129 p=0.01 beta=4.131827973359973e-07,0.3965876696165559,0.41155125094840866,0.4102920129371239
HawkesRanker L=129 p=0.1 beta=2.0659139866799865e-07,0.4002703624045802,0.41280790003231593,0.41184416079707703
