,L,mu,theta,forget_func,jaccard_sim,rbo
0,7.0,0.05,0.0001,exp,0.2660526436843572,0.30501592883639017
1,7.0,0.05,0.0001,pow,0.2658564732599515,0.2955777414707919
2,7.0,0.05,0.03333333333333333,exp,0.3407830713395286,0.3607841006062931
3,7.0,0.05,0.03333333333333333,pow,0.22028888782823278,0.25473108980514675
4,7.0,0.1,0.0001,exp,0.26379487317002354,0.3027682989546233
5,7.0,0.1,0.0001,pow,0.26590075434769816,0.29497433035085013
6,7.0,0.1,0.03333333333333333,exp,0.3019997799723205,0.33466362043063297
7,7.0,0.1,0.03333333333333333,pow,0.2523803074812785,0.28634453949373145
8,7.0,0.1,0.06666666666666667,exp,0.32934942573772585,0.3521229711190717
9,7.0,0.1,0.06666666666666667,pow,0.23362628763435342,0.2716891965904372
10,7.0,0.15,0.0001,exp,0.26278026223012896,0.30089410900256763
11,7.0,0.15,0.0001,pow,0.2644821105293847,0.2936798872176713
12,7.0,0.15,0.03333333333333333,exp,0.2893828103122504,0.3230136676434052
13,7.0,0.15,0.03333333333333333,pow,0.26744204909063835,0.29671507343753656
14,7.0,0.15,0.06666666666666667,exp,0.3010510823612783,0.33345583325259454
15,7.0,0.15,0.06666666666666667,pow,0.2608857781525678,0.2915607995675228
16,7.0,0.15,0.1,exp,0.3218534984003665,0.3439890205240593
17,7.0,0.15,0.1,pow,0.25070983367452815,0.28558916009674845
18,7.0,0.15,0.13333333333333333,exp,0.34371411867785095,0.359334270571928
19,7.0,0.15,0.13333333333333333,pow,0.24651049940983835,0.28292431373526117
20,7.0,0.2,0.0001,exp,0.2647901724465012,0.3012987945413823
21,7.0,0.2,0.0001,pow,0.2617728975077787,0.29144286120198293
22,7.0,0.2,0.03333333333333333,exp,0.28089697191875534,0.3161801048697438
23,7.0,0.2,0.03333333333333333,pow,0.2770709808281982,0.3008723834799967
24,7.0,0.2,0.06666666666666667,exp,0.29206077840448125,0.3254028536828535
25,7.0,0.2,0.06666666666666667,pow,0.2682846692872021,0.2983731803246942
26,7.0,0.2,0.1,exp,0.2993607161924485,0.3299562530463657
27,7.0,0.2,0.1,pow,0.265935934500146,0.2949114563112465
28,7.0,0.2,0.13333333333333333,exp,0.31353504895181744,0.3388084734000657
29,7.0,0.2,0.13333333333333333,pow,0.2639177238430665,0.2947928789952325
30,7.0,0.2,0.16666666666666666,exp,0.32652973924797607,0.34603095902692527
31,7.0,0.2,0.16666666666666666,pow,0.2611581251194526,0.29367229772601944
32,7.0,0.2,0.19999999999999998,exp,0.34564541863642373,0.37249927761732654
33,7.0,0.2,0.19999999999999998,pow,0.33243118329440624,0.3637541780252032
34,7.0,0.25,0.0001,exp,0.26417036197763494,0.3003699086456277
35,7.0,0.25,0.0001,pow,0.26111206976600554,0.29181238629060297
36,7.0,0.25,0.03333333333333333,exp,0.2784105447655308,0.3152253892800497
37,7.0,0.25,0.03333333333333333,pow,0.28118273404687283,0.30324237872544096
38,7.0,0.25,0.06666666666666667,exp,0.28641617166120265,0.32071354081777814
39,7.0,0.25,0.06666666666666667,pow,0.27921004700037466,0.3030220161661352
40,7.0,0.25,0.1,exp,0.2952913460935841,0.32645692266258775
41,7.0,0.25,0.1,pow,0.27291581262632203,0.30175795376884923
42,7.0,0.25,0.13333333333333333,exp,0.301452886178578,0.3299119205695369
43,7.0,0.25,0.13333333333333333,pow,0.26984898499560406,0.3000384628898908
44,7.0,0.25,0.16666666666666666,exp,0.30984906156709247,0.3358381772830639
45,7.0,0.25,0.16666666666666666,pow,0.2696498134347672,0.2985924392684158
46,7.0,0.25,0.19999999999999998,exp,0.3222890665240801,0.3431679030707141
47,7.0,0.25,0.19999999999999998,pow,0.26923563725622907,0.29747124580654477
48,7.0,0.25,0.23333333333333334,exp,0.3377975520000935,0.3527924832039213
49,7.0,0.25,0.23333333333333334,pow,0.272398192177257,0.3003644894886358
50,7.0,0.3,0.0001,exp,0.26084185948262056,0.2975734214856178
51,7.0,0.3,0.0001,pow,0.26114400232410756,0.29173320180281465
52,7.0,0.3,0.03333333333333333,exp,0.27587398398687635,0.31052330303564524
53,7.0,0.3,0.03333333333333333,pow,0.2813290152836759,0.3008936314109516
54,7.0,0.3,0.06666666666666667,exp,0.2822473740367818,0.3159259591567866
55,7.0,0.3,0.06666666666666667,pow,0.2848644721756335,0.3054096698582636
56,7.0,0.3,0.1,exp,0.28871016054433934,0.3209724773763465
57,7.0,0.3,0.1,pow,0.2825486948899666,0.3064520149406749
