,L,mu,theta,forget_func,jaccard_sim,rbo
78,7.0,0.9,0.5,exp,0.2636106311128739,0.29649397725779486
79,7.0,0.9,0.5,pow,0.2703116637151217,0.2994617276607813
80,7.0,0.9,0.6,exp,0.26404309589966435,0.29753393848347115
81,7.0,0.9,0.6,pow,0.2759703568499024,0.30286954923245923
82,7.0,1.0,0.1,exp,0.2516527488284442,0.28654704543303255
83,7.0,1.0,0.1,pow,0.2516527488284442,0.28561420884810623
84,7.0,1.0,0.166667,exp,0.2516527488284442,0.28654704543303255
85,7.0,1.0,0.166667,pow,0.2516527488284442,0.28561420884810623
86,7.0,1.0,0.2,exp,0.2516527488284442,0.28654704543303255
87,7.0,1.0,0.2,pow,0.2516527488284442,0.28561420884810623
88,7.0,1.0,0.3,exp,0.2516527488284442,0.28654704543303255
89,7.0,1.0,0.3,pow,0.2516527488284442,0.28561420884810623
90,7.0,1.0,0.4,exp,0.2516527488284442,0.28654704543303255
91,7.0,1.0,0.4,pow,0.2516527488284442,0.28561420884810623
92,7.0,1.0,0.5,exp,0.2516527488284442,0.28654704543303255
93,7.0,1.0,0.5,pow,0.2516527488284442,0.28561420884810623
94,7.0,1.0,0.6,exp,0.2516527488284442,0.28654704543303255
95,7.0,1.0,0.6,pow,0.2516527488284442,0.28561420884810623
96,14.0,0.2,0.1,exp,0.31787383183235024,0.3399929628290073
97,14.0,0.2,0.1,pow,0.2654796721390197,0.29469472054317797
98,14.0,0.2,0.166667,exp,0.3388240497492222,0.35382189732853864
99,14.0,0.2,0.166667,pow,0.2613462526982373,0.29373329236213624
100,14.0,0.3,0.1,exp,0.3065873516592185,0.33136338134635035
101,14.0,0.3,0.1,pow,0.2815682767583748,0.30570738241968126
102,14.0,0.3,0.166667,exp,0.3151180091714986,0.33789108023179554
103,14.0,0.3,0.166667,pow,0.2767661831142178,0.30400962619777133
104,14.0,0.3,0.2,exp,0.31975715700968765,0.3398150925196531
105,14.0,0.3,0.2,pow,0.2758400366712315,0.30390964349596883
106,14.0,0.4,0.1,exp,0.2966863889664705,0.32221945513570466
107,14.0,0.4,0.1,pow,0.28971141434055225,0.3095992281040555
108,14.0,0.4,0.166667,exp,0.30246269586790586,0.32584371556601843
109,14.0,0.4,0.166667,pow,0.29204671158547896,0.30983571043072455
110,14.0,0.4,0.2,exp,0.30743105502636386,0.32958401542311955
111,14.0,0.4,0.2,pow,0.2898370977610493,0.30930019020682903
112,14.0,0.4,0.3,exp,0.31634386627405175,0.333973013489348
113,14.0,0.4,0.3,pow,0.2892001795880713,0.30978676703721464
114,14.0,0.5,0.1,exp,0.28540514765483715,0.31196397437132284
115,14.0,0.5,0.1,pow,0.2904773317135938,0.308716542865137
116,14.0,0.5,0.166667,exp,0.29141970598770084,0.31609259998473704
117,14.0,0.5,0.166667,pow,0.29210024255804634,0.31171021492806766
118,14.0,0.5,0.2,exp,0.2961610306956994,0.31971908323439163
119,14.0,0.5,0.2,pow,0.29312540285471145,0.31210354285878084
120,14.0,0.5,0.3,exp,0.30284967879440405,0.32376115264978117
121,14.0,0.5,0.3,pow,0.2957060547502971,0.31350576245571726
122,14.0,0.5,0.4,exp,0.3121435593448132,0.32865807511222367
123,14.0,0.5,0.4,pow,0.2982704344834072,0.3156724595507627
124,14.0,0.6,0.1,exp,0.2800836106262536,0.3089491987519298
125,14.0,0.6,0.1,pow,0.2838171980851107,0.30461144300185944
