,L,mu,theta,forget_func,jaccard_sim,rbo
0,7.0,0.2,0.1,exp,0.3076923076923077,0.3347354497354497
1,7.0,0.2,0.1,pow,0.2727272727272727,0.29413485252946037
2,7.0,0.2,0.166667,exp,0.3333333333333333,0.34680896484467916
3,7.0,0.2,0.166667,pow,0.2631578947368421,0.292494298572085
4,7.0,0.3,0.1,exp,0.2903225806451613,0.33147444635333906
5,7.0,0.3,0.1,pow,0.2857142857142857,0.30436948582552975
6,7.0,0.3,0.166667,exp,0.3090185676392573,0.3364136904761904
7,7.0,0.3,0.166667,pow,0.2727272727272727,0.2962483201322487
8,7.0,0.3,0.2,exp,0.3333333333333333,0.33850550243407385
9,7.0,0.3,0.2,pow,0.27636363636363637,0.2966666666666667
10,7.0,0.4,0.1,exp,0.2727272727272727,0.3160216808654309
11,7.0,0.4,0.1,pow,0.2857142857142857,0.3051124338624338
12,7.0,0.4,0.166667,exp,0.28801843317972353,0.32591490299823633
13,7.0,0.4,0.166667,pow,0.2922201138519924,0.30727545891608393
14,7.0,0.4,0.2,exp,0.2903225806451613,0.33018128050411744
15,7.0,0.4,0.2,pow,0.2922201138519924,0.3048060201906355
16,7.0,0.4,0.3,exp,0.3333333333333333,0.3364136904761904
17,7.0,0.4,0.3,pow,0.29411764705882354,0.30548234316423173
18,7.0,0.5,0.1,exp,0.2727272727272727,0.3076895500333
19,7.0,0.5,0.1,pow,0.2857142857142857,0.30957669314812175
20,7.0,0.5,0.166667,exp,0.27636363636363637,0.3114399092970521
21,7.0,0.5,0.166667,pow,0.29411764705882354,0.31292349683555176
22,7.0,0.5,0.2,exp,0.2727272727272727,0.31488195446528777
23,7.0,0.5,0.2,pow,0.29411764705882354,0.3138957209848593
24,7.0,0.5,0.3,exp,0.2903225806451613,0.3236994776057276
25,7.0,0.5,0.3,pow,0.3,0.3098178749784787
26,7.0,0.5,0.4,exp,0.3090185676392573,0.33304942843805474
27,7.0,0.5,0.4,pow,0.30434782608695654,0.30957669314812175
28,7.0,0.6,0.1,exp,0.26969696969696966,0.3089095428381143
29,7.0,0.6,0.1,pow,0.28285714285714286,0.31016957097686265
30,7.0,0.6,0.166667,exp,0.26969696969696966,0.3088985088985089
31,7.0,0.6,0.166667,pow,0.2857142857142857,0.3085650873939126
32,7.0,0.6,0.2,exp,0.2727272727272727,0.3088985088985089
33,7.0,0.6,0.2,pow,0.2857142857142857,0.31272156530964346
34,7.0,0.6,0.3,exp,0.2857142857142857,0.3114399092970521
35,7.0,0.6,0.3,pow,0.3060200668896321,0.3166269841269841
36,7.0,0.6,0.4,exp,0.2857142857142857,0.3168652525484039
37,7.0,0.6,0.4,pow,0.3103448275862069,0.3173664629021772
38,7.0,0.6,0.5,exp,0.3090185676392573,0.32410870379620377
39,7.0,0.6,0.5,pow,0.3103448275862069,0.3173664629021772
40,7.0,0.7,0.1,exp,0.26666666666666666,0.3054318432889861
41,7.0,0.7,0.1,pow,0.2727272727272727,0.3052314550528836
42,7.0,0.7,0.166667,exp,0.26666666666666666,0.30788660413660407
43,7.0,0.7,0.166667,pow,0.2727272727272727,0.30659828019203017
44,7.0,0.7,0.2,exp,0.26666666666666666,0.30788660413660407
45,7.0,0.7,0.2,pow,0.2857142857142857,0.3126227629017807
46,7.0,0.7,0.3,exp,0.2727272727272727,0.3098683461529431
47,7.0,0.7,0.3,pow,0.2903225806451613,0.3112244897959183
48,7.0,0.7,0.4,exp,0.2727272727272727,0.31093130499960997
49,7.0,0.7,0.4,pow,0.3060200668896321,0.315721142100888
50,7.0,0.7,0.5,exp,0.2857142857142857,0.3144774689045522
51,7.0,0.7,0.5,pow,0.3076923076923077,0.3177257861186433
52,7.0,0.7,0.6,exp,0.29411764705882354,0.32156084656084655
53,7.0,0.7,0.6,pow,0.3103448275862069,0.3187830687830688
54,7.0,0.8,0.1,exp,0.25,0.30377821201997024
55,7.0,0.8,0.1,pow,0.2631578947368421,0.30058893927941543
56,7.0,0.8,0.166667,exp,0.2631578947368421,0.3060442354961257
57,7.0,0.8,0.166667,pow,0.26969696969696966,0.3023938201221855
58,7.0,0.8,0.2,exp,0.2649122807017544,0.3060442354961257
59,7.0,0.8,0.2,pow,0.2727272727272727,0.30353961150640685
60,7.0,0.8,0.3,exp,0.26666666666666666,0.3052623057856246
61,7.0,0.8,0.3,pow,0.2727272727272727,0.3079697881483595
62,7.0,0.8,0.4,exp,0.26666666666666666,0.3102797995655139
63,7.0,0.8,0.4,pow,0.2857142857142857,0.3100313377099092
64,7.0,0.8,0.5,exp,0.2727272727272727,0.3108502600524936
65,7.0,0.8,0.5,pow,0.2857142857142857,0.3137644268911873
66,7.0,0.8,0.6,exp,0.2727272727272727,0.3144774689045522
67,7.0,0.8,0.6,pow,0.2922201138519924,0.3222224878799273
68,7.0,0.9,0.1,exp,0.25,0.2957646053198938
69,7.0,0.9,0.1,pow,0.25,0.29981016364616864
70,7.0,0.9,0.166667,exp,0.25,0.29600304209679207
71,7.0,0.9,0.166667,pow,0.25925925925925924,0.29866355615398305
72,7.0,0.9,0.2,exp,0.25,0.2973405735810005
73,7.0,0.9,0.2,pow,0.2631578947368421,0.3000081502819506
74,7.0,0.9,0.3,exp,0.25,0.30134910283719807
75,7.0,0.9,0.3,pow,0.2631578947368421,0.30230127185255395
76,7.0,0.9,0.4,exp,0.25462962962962965,0.30378624351838635
77,7.0,0.9,0.4,pow,0.2727272727272727,0.303880015562521
78,7.0,0.9,0.5,exp,0.26666666666666666,0.3022962832466045
79,7.0,0.9,0.5,pow,0.2727272727272727,0.3055766739571356
80,7.0,0.9,0.6,exp,0.2631578947368421,0.3026382843347129
81,7.0,0.9,0.6,pow,0.2727272727272727,0.30953626400054973
82,7.0,1.0,0.1,exp,0.25,0.28474489300382155
83,7.0,1.0,0.1,pow,0.25,0.28089717737153636
84,7.0,1.0,0.166667,exp,0.25,0.28474489300382155
85,7.0,1.0,0.166667,pow,0.25,0.28089717737153636
86,7.0,1.0,0.2,exp,0.25,0.28474489300382155
87,7.0,1.0,0.2,pow,0.25,0.28089717737153636
88,7.0,1.0,0.3,exp,0.25,0.28474489300382155
89,7.0,1.0,0.3,pow,0.25,0.28089717737153636
90,7.0,1.0,0.4,exp,0.25,0.28474489300382155
91,7.0,1.0,0.4,pow,0.25,0.28089717737153636
92,7.0,1.0,0.5,exp,0.25,0.28474489300382155
93,7.0,1.0,0.5,pow,0.25,0.28089717737153636
94,7.0,1.0,0.6,exp,0.25,0.28474489300382155
95,7.0,1.0,0.6,pow,0.25,0.28089717737153636
