,L,mu,theta,forget_func,jaccard_sim
0,10.0,0.2,0.1,exp,0.30950186395703516
1,10.0,0.2,0.13333333333333336,exp,0.3219249077652539
2,10.0,0.2,0.16666666666666669,exp,0.3297026519124775
3,10.0,0.2,0.2,exp,0.24978624809146102
4,10.0,0.2,0.23333333333333336,exp,0.008922350293612645
5,10.0,0.2,0.2666666666666667,exp,0.005220832452707712
6,10.0,0.2,0.30000000000000004,exp,0.0046110618103450286
7,10.0,0.2,0.33333333333333337,exp,0.004614806291806004
8,10.0,0.2,0.3666666666666667,exp,0.004502483380106055
9,10.0,0.2,0.4,exp,0.004506466409442128
10,10.0,0.25,0.1,exp,0.3029460127638557
11,10.0,0.25,0.13333333333333336,exp,0.3107923604913443
12,10.0,0.25,0.16666666666666669,exp,0.3186209070139674
13,10.0,0.25,0.2,exp,0.3253100214411574
14,10.0,0.25,0.23333333333333336,exp,0.33956278430082165
15,10.0,0.25,0.2666666666666667,exp,0.021869069412242145
16,10.0,0.25,0.30000000000000004,exp,0.006153605973808402
17,10.0,0.25,0.33333333333333337,exp,0.0041190051251814045
18,10.0,0.25,0.3666666666666667,exp,0.00414228665732721
19,10.0,0.25,0.4,exp,0.003933896294477937
20,10.0,0.3,0.1,exp,0.2989931572058508
21,10.0,0.3,0.13333333333333336,exp,0.30409778691856854
22,10.0,0.3,0.16666666666666669,exp,0.30965286098233363
23,10.0,0.3,0.2,exp,0.31632011209175936
24,10.0,0.3,0.23333333333333336,exp,0.3212456851741732
25,10.0,0.3,0.2666666666666667,exp,0.33068348966953304
26,10.0,0.3,0.30000000000000004,exp,0.1840699911433747
27,10.0,0.3,0.33333333333333337,exp,0.008790319825407986
28,10.0,0.3,0.3666666666666667,exp,0.004544614256980603
29,10.0,0.3,0.4,exp,0.0036415902097390036
30,10.0,0.35,0.1,exp,0.29298231909911115
31,10.0,0.35,0.13333333333333336,exp,0.2969330080658746
32,10.0,0.35,0.16666666666666669,exp,0.30168039612008873
33,10.0,0.35,0.2,exp,0.3062733868930668
34,10.0,0.35,0.23333333333333336,exp,0.31310632565760327
35,10.0,0.35,0.2666666666666667,exp,0.31856741738008815
36,10.0,0.35,0.30000000000000004,exp,0.3226940666114017
37,10.0,0.35,0.33333333333333337,exp,0.33342973830184397
38,10.0,0.35,0.3666666666666667,exp,0.01905354250628989
39,10.0,0.35,0.4,exp,0.005053472737703452
40,10.0,0.4,0.1,exp,0.28730395761835403
41,10.0,0.4,0.13333333333333336,exp,0.29145253642668406
42,10.0,0.4,0.16666666666666669,exp,0.2960608277774253
43,10.0,0.4,0.2,exp,0.299523948620091
44,10.0,0.4,0.23333333333333336,exp,0.3031766380464451
45,10.0,0.4,0.2666666666666667,exp,0.3097586000730471
46,10.0,0.4,0.30000000000000004,exp,0.3126114966524942
47,10.0,0.4,0.33333333333333337,exp,0.31755066217798406
48,10.0,0.4,0.3666666666666667,exp,0.3242323932233051
49,10.0,0.4,0.4,exp,0.19818979244977292
50,10.0,0.45,0.1,exp,0.2828216150509019
51,10.0,0.45,0.13333333333333336,exp,0.2853989721216847
52,10.0,0.45,0.16666666666666669,exp,0.2887193381635004
53,10.0,0.45,0.2,exp,0.2952022010869812
54,10.0,0.45,0.23333333333333336,exp,0.29708020293029647
55,10.0,0.45,0.2666666666666667,exp,0.30115495382321006
56,10.0,0.45,0.30000000000000004,exp,0.305375744862535
57,10.0,0.45,0.33333333333333337,exp,0.3110517248384849
58,10.0,0.45,0.3666666666666667,exp,0.3139335276237988
59,10.0,0.45,0.4,exp,0.31881429668712097
60,10.0,0.5,0.1,exp,0.28041185695967824
61,10.0,0.5,0.13333333333333336,exp,0.28248829740225356
62,10.0,0.5,0.16666666666666669,exp,0.2841214609792004
63,10.0,0.5,0.2,exp,0.2869488271340024
64,10.0,0.5,0.23333333333333336,exp,0.29204262571982686
65,10.0,0.5,0.2666666666666667,exp,0.2944938600960332
66,10.0,0.5,0.30000000000000004,exp,0.2974425365932977
67,10.0,0.5,0.33333333333333337,exp,0.3003150409967438
68,10.0,0.5,0.3666666666666667,exp,0.3058321305406907
69,10.0,0.5,0.4,exp,0.3090754114353428
70,10.0,0.6,0.1,exp,0.2720402116563717
71,10.0,0.6,0.13333333333333336,exp,0.2750160695014392
72,10.0,0.6,0.16666666666666669,exp,0.2772515485475281
73,10.0,0.6,0.2,exp,0.2800881813055954
74,10.0,0.6,0.23333333333333336,exp,0.2816262275459106
75,10.0,0.6,0.2666666666666667,exp,0.2831571630346853
76,10.0,0.6,0.30000000000000004,exp,0.28584904303327596
77,10.0,0.6,0.33333333333333337,exp,0.2880766262016698
78,10.0,0.6,0.3666666666666667,exp,0.29130740566914193
79,10.0,0.6,0.4,exp,0.2936983720496267
80,10.0,0.7,0.1,exp,0.2686544727995548
81,10.0,0.7,0.13333333333333336,exp,0.2700562169845045
82,10.0,0.7,0.16666666666666669,exp,0.2712064739543058
83,10.0,0.7,0.2,exp,0.273577989167005
84,10.0,0.7,0.23333333333333336,exp,0.2745267023256472
85,10.0,0.7,0.2666666666666667,exp,0.27651693166698166
86,10.0,0.7,0.30000000000000004,exp,0.2785739131523416
87,10.0,0.7,0.33333333333333337,exp,0.2801770631925133
88,10.0,0.7,0.3666666666666667,exp,0.2811010889195004
89,10.0,0.7,0.4,exp,0.2829141263890697
90,50.0,0.2,0.1,exp,0.3381459914249385
91,50.0,0.2,0.13333333333333336,exp,0.34175662929288003
92,50.0,0.2,0.16666666666666669,exp,0.3466727183217876
93,50.0,0.2,0.2,exp,0.24978624809146102
94,50.0,0.2,0.23333333333333336,exp,0.03132555638865031
95,50.0,0.2,0.2666666666666667,exp,0.024845332940993458
96,50.0,0.2,0.30000000000000004,exp,0.016767579022534045
97,50.0,0.2,0.33333333333333337,exp,0.011853228666825432
98,50.0,0.2,0.3666666666666667,exp,0.008228162298352167
99,50.0,0.2,0.4,exp,0.005690176390717392
100,50.0,0.25,0.1,exp,0.3309398046209432
101,50.0,0.25,0.13333333333333336,exp,0.33562227725092564
102,50.0,0.25,0.16666666666666669,exp,0.3379254652673286
103,50.0,0.25,0.2,exp,0.34295424068627844
104,50.0,0.25,0.23333333333333336,exp,0.3477735347263962
105,50.0,0.25,0.2666666666666667,exp,0.03535453041232304
106,50.0,0.25,0.30000000000000004,exp,0.026412537134376253
107,50.0,0.25,0.33333333333333337,exp,0.020904500134621792
108,50.0,0.25,0.3666666666666667,exp,0.015176597636874923
109,50.0,0.25,0.4,exp,0.009519804986033702
110,50.0,0.3,0.1,exp,0.32414591364784545
111,50.0,0.3,0.13333333333333336,exp,0.329070412774264
112,50.0,0.3,0.16666666666666669,exp,0.3336481877299677
