,L,mu_t,mu_c,theta,forget_func,jaccard_sim,rbo
0,1.0,0.002,0.002,0.001,exp,0.24917770585779642,0.3062336396170674
1,1.0,0.002,0.06614285714285714,0.001,exp,0.17613095926272085,0.23572942533695318
2,1.0,0.002,0.13028571428571428,0.001,exp,0.1698990509400285,0.228084817994836
3,1.0,0.002,0.19442857142857142,0.001,exp,0.16714610832486748,0.22516462084773836
4,1.0,0.002,0.25857142857142856,0.001,exp,0.16435509561438963,0.2227301329154051
5,1.0,0.002,0.32271428571428573,0.001,exp,0.1637909548654575,0.22219751740201127
6,1.0,0.002,0.38685714285714284,0.001,exp,0.162050989099005,0.22115471203334983
7,1.0,0.002,0.45099999999999996,0.001,exp,0.16037737877199165,0.21888210199740213
8,1.0,0.002,0.5151428571428571,0.001,exp,0.1598237508316452,0.2181056315241792
9,1.0,0.002,0.5792857142857143,0.001,exp,0.15846161196303432,0.21737105022288228
10,1.0,0.002,0.6434285714285715,0.001,exp,0.158008285380887,0.2168731707648971
11,1.0,0.002,0.7075714285714285,0.001,exp,0.15682748778605263,0.2162395292841148
12,1.0,0.002,0.7717142857142857,0.001,exp,0.15642705195201617,0.2159753590652631
13,1.0,0.002,0.8358571428571429,0.001,exp,0.1560675569688816,0.21591753114213422
14,1.0,0.002,0.9,0.001,exp,0.1560688153623661,0.21515591595097094
15,1.0,0.06614285714285714,0.002,0.001,exp,0.15172087818421093,0.2342304807337182
16,1.0,0.06614285714285714,0.06614285714285714,0.001,exp,0.18539876474057185,0.2572091199535007
17,1.0,0.06614285714285714,0.06614285714285714,0.05644444444444444,exp,0.3179738966642409,0.3466355742020846
18,1.0,0.06614285714285714,0.13028571428571428,0.001,exp,0.1845611433575161,0.2545565934825164
19,1.0,0.06614285714285714,0.13028571428571428,0.05644444444444444,exp,0.24824468012228115,0.29662042110265135
20,1.0,0.06614285714285714,0.19442857142857142,0.001,exp,0.18259809558571088,0.25183782571673674
21,1.0,0.06614285714285714,0.19442857142857142,0.05644444444444444,exp,0.2244975763496193,0.2807012528848468
22,1.0,0.06614285714285714,0.25857142857142856,0.001,exp,0.18129212104935408,0.24984441263088128
23,1.0,0.06614285714285714,0.25857142857142856,0.05644444444444444,exp,0.21089300345215917,0.2681946612177357
24,1.0,0.06614285714285714,0.32271428571428573,0.001,exp,0.18033356313343646,0.24927825675889595
25,1.0,0.06614285714285714,0.32271428571428573,0.05644444444444444,exp,0.2023060334104004,0.2612786066655836
26,1.0,0.06614285714285714,0.38685714285714284,0.001,exp,0.17975863682449084,0.24772639249393602
27,1.0,0.06614285714285714,0.38685714285714284,0.05644444444444444,exp,0.1966862826570392,0.2567295811603021
28,1.0,0.06614285714285714,0.45099999999999996,0.001,exp,0.17759605516524168,0.24519374517738396
29,1.0,0.06614285714285714,0.45099999999999996,0.05644444444444444,exp,0.18984159338779744,0.2516332040273833
30,1.0,0.06614285714285714,0.5151428571428571,0.001,exp,0.1762751222299259,0.24277270924616334
31,1.0,0.06614285714285714,0.5151428571428571,0.05644444444444444,exp,0.18390149699929373,0.24608166192810485
32,1.0,0.06614285714285714,0.5792857142857143,0.001,exp,0.17516652535799146,0.24157872528874494
33,1.0,0.06614285714285714,0.5792857142857143,0.05644444444444444,exp,0.18038407511646345,0.24110044350273271
34,1.0,0.06614285714285714,0.6434285714285715,0.001,exp,0.17389674603090452,0.24043934787898977
35,1.0,0.06614285714285714,0.6434285714285715,0.05644444444444444,exp,0.17618138693378682,0.23720800792901484
36,1.0,0.06614285714285714,0.7075714285714285,0.001,exp,0.17295833614944744,0.2393845724682414
37,1.0,0.06614285714285714,0.7075714285714285,0.05644444444444444,exp,0.17195523516715264,0.2356032390407604
38,1.0,0.06614285714285714,0.7717142857142857,0.001,exp,0.17214109501712596,0.238880013072825
39,1.0,0.06614285714285714,0.7717142857142857,0.05644444444444444,exp,0.16973953557164417,0.23275591565102008
40,1.0,0.06614285714285714,0.8358571428571429,0.001,exp,0.17152738011012486,0.23866262949848624
41,1.0,0.06614285714285714,0.8358571428571429,0.05644444444444444,exp,0.16839918970951395,0.23065000330599256
42,1.0,0.06614285714285714,0.9,0.001,exp,0.17073662724573868,0.2373813131462051
43,1.0,0.06614285714285714,0.9,0.05644444444444444,exp,0.16735625537283236,0.2298713011270007
44,1.0,0.13028571428571428,0.002,0.001,exp,0.13949202996717286,0.22348768421332596
45,1.0,0.13028571428571428,0.06614285714285714,0.001,exp,0.18276281953570497,0.258469183278384
46,1.0,0.13028571428571428,0.06614285714285714,0.05644444444444444,exp,0.24399059447866012,0.30745027992507207
47,1.0,0.13028571428571428,0.13028571428571428,0.001,exp,0.18201055855753373,0.2557486526130905
48,1.0,0.13028571428571428,0.13028571428571428,0.05644444444444444,exp,0.23076880456846466,0.2917115810904283
49,1.0,0.13028571428571428,0.13028571428571428,0.11188888888888888,exp,0.3126505118137965,0.3414075404591742
50,1.0,0.13028571428571428,0.19442857142857142,0.001,exp,0.18176537819442093,0.2537364301428511
51,1.0,0.13028571428571428,0.19442857142857142,0.05644444444444444,exp,0.2185468461275808,0.28017788448258585
52,1.0,0.13028571428571428,0.19442857142857142,0.11188888888888888,exp,0.263053697819651,0.30987418011808643
53,1.0,0.13028571428571428,0.25857142857142856,0.001,exp,0.1809154843193626,0.2520033689675272
54,1.0,0.13028571428571428,0.25857142857142856,0.05644444444444444,exp,0.2111134625247665,0.27498330209963223
55,1.0,0.13028571428571428,0.25857142857142856,0.11188888888888888,exp,0.23846197937113117,0.2902553778393308
56,1.0,0.13028571428571428,0.32271428571428573,0.001,exp,0.18052550917167234,0.25115795542244956
