,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
52,1.0,0.03448931,0.02414552,exp,0.2857142857142857,0.3443452380952381,0.5
53,1.0,0.03448931,0.02759345,exp,0.3333333333333333,0.36582645937571223,0.5294117647058824
54,1.0,0.03448931,0.03104138,exp,0.36,0.38224295545724113,0.5384615384615384
55,1.0,0.03448931,0.0333333333,exp,0.4,0.40693417393019105,0.5555555555555556
56,1.0,0.03583051,0.0001,exp,0.16666666666666666,0.26064120229219057,0.375
57,1.0,0.03583051,0.001,exp,0.16666666666666666,0.26767857142857143,0.3939393939393939
58,1.0,0.03583051,0.01035379,exp,0.2,0.29282466499245874,0.45
59,1.0,0.03583051,0.01380172,exp,0.21739130434782608,0.309979517010767,0.46153846153846156
60,1.0,0.03583051,0.01724966,exp,0.23809523809523808,0.3140551809301809,0.48717948717948717
61,1.0,0.03583051,0.0179322,exp,0.2413793103448276,0.3142160694244027,0.48717948717948717
62,1.0,0.03583051,0.02069759,exp,0.25,0.32537165455788786,0.49019607843137253
63,1.0,0.03583051,0.02414552,exp,0.28285714285714286,0.33727844490325953,0.5
64,1.0,0.03583051,0.02759345,exp,0.3333333333333333,0.354728835978836,0.5172413793103449
65,1.0,0.03583051,0.03104138,exp,0.3333333333333333,0.37434550124458665,0.5454545454545454
66,1.0,0.03583051,0.0333333333,exp,0.3771551724137931,0.3935098628835435,0.5555555555555556
67,1.0,0.03583051,0.03448931,exp,0.4,0.40248606191788006,0.5555555555555556
68,1.0,0.03583051,0.03486441,exp,0.4,0.41324961363422896,0.5652173913043478
69,1.0,0.03793724,0.0001,exp,0.16666666666666666,0.2597143868191947,0.375
70,1.0,0.03793724,0.001,exp,0.16666666666666666,0.26516136935867324,0.3888888888888889
71,1.0,0.03793724,0.01035379,exp,0.2,0.28990661105745774,0.45454545454545453
72,1.0,0.03793724,0.01380172,exp,0.21739130434782608,0.3010243807118807,0.45454545454545453
73,1.0,0.03793724,0.01724966,exp,0.23076923076923078,0.3164880974404784,0.4782608695652174
74,1.0,0.03793724,0.0179322,exp,0.23809523809523808,0.31461640211640207,0.4782608695652174
75,1.0,0.03793724,0.02069759,exp,0.25,0.3223491252337406,0.49019607843137253
76,1.0,0.03793724,0.02414552,exp,0.2727272727272727,0.3333333333333333,0.5
77,1.0,0.03793724,0.02759345,exp,0.29411764705882354,0.3442142810892811,0.5
78,1.0,0.03793724,0.03104138,exp,0.3333333333333333,0.36432829920608967,0.5348837209302325
79,1.0,0.03793724,0.0333333333,exp,0.3333333333333333,0.3726800087377011,0.5483870967741935
80,1.0,0.03793724,0.03448931,exp,0.36,0.38888888888888884,0.5483870967741935
81,1.0,0.03793724,0.03486441,exp,0.3466666666666667,0.39041055576594796,0.5555555555555556
82,1.0,0.04138517,0.0001,exp,0.16666666666666666,0.2597143868191947,0.3684210526315789
83,1.0,0.04138517,0.001,exp,0.16666666666666666,0.2650297619047619,0.3888888888888889
84,1.0,0.04138517,0.01035379,exp,0.2,0.2869315675673807,0.4482758620689655
85,1.0,0.04138517,0.01380172,exp,0.2,0.3010243807118807,0.45454545454545453
86,1.0,0.04138517,0.01724966,exp,0.228287841191067,0.3088138886576386,0.47619047619047616
87,1.0,0.04138517,0.0179322,exp,0.23076923076923078,0.31397356501523166,0.48148148148148145
