,L,mu,theta,forget_func,jaccard_sim,rbo
0,7.0,0.05,0.0001,exp,0.26666666666666666,0.31179980733552165
1,7.0,0.05,0.0001,pow,0.26666666666666666,0.2972310405643739
2,7.0,0.05,0.03333333333333333,exp,0.3333333333333333,0.3635015667753763
3,7.0,0.05,0.03333333333333333,pow,0.21212121212121213,0.24691964285714285
4,7.0,0.1,0.0001,exp,0.2631578947368421,0.3112874228945657
5,7.0,0.1,0.0001,pow,0.2727272727272727,0.2968694885361552
6,7.0,0.1,0.03333333333333333,exp,0.3076923076923077,0.3375510821358572
7,7.0,0.1,0.03333333333333333,pow,0.25,0.2861671564071514
8,7.0,0.1,0.06666666666666667,exp,0.3333333333333333,0.3563917974292418
9,7.0,0.1,0.06666666666666667,pow,0.23076923076923078,0.262980922192416
10,7.0,0.15,0.0001,exp,0.2631578947368421,0.31247165532879817
11,7.0,0.15,0.0001,pow,0.2727272727272727,0.29672839506172843
12,7.0,0.15,0.03333333333333333,exp,0.2903225806451613,0.32851853015262455
13,7.0,0.15,0.03333333333333333,pow,0.2727272727272727,0.29003387418601145
14,7.0,0.15,0.06666666666666667,exp,0.3090185676392573,0.33922476828726833
15,7.0,0.15,0.06666666666666667,pow,0.2631578947368421,0.2874683736402487
16,7.0,0.15,0.1,exp,0.3333333333333333,0.3460205345249988
17,7.0,0.15,0.1,pow,0.25,0.28331368551551295
18,7.0,0.15,0.13333333333333333,exp,0.3333333333333333,0.35858918858918853
19,7.0,0.15,0.13333333333333333,pow,0.25,0.27379317111459966
20,7.0,0.2,0.0001,exp,0.2631578947368421,0.3072927246364746
21,7.0,0.2,0.0001,pow,0.26666666666666666,0.29190489001908027
22,7.0,0.2,0.03333333333333333,exp,0.2857142857142857,0.3227919071669072
23,7.0,0.2,0.03333333333333333,pow,0.2727272727272727,0.2964373897707231
24,7.0,0.2,0.06666666666666667,exp,0.29411764705882354,0.33204365079365084
25,7.0,0.2,0.06666666666666667,pow,0.2727272727272727,0.2933787377293019
26,7.0,0.2,0.1,exp,0.3076923076923077,0.3347354497354497
27,7.0,0.2,0.1,pow,0.2727272727272727,0.29413485252946037
28,7.0,0.2,0.13333333333333333,exp,0.3333333333333333,0.34084078107110116
29,7.0,0.2,0.13333333333333333,pow,0.26666666666666666,0.2912046040897581
30,7.0,0.2,0.16666666666666666,exp,0.3333333333333333,0.34680896484467916
31,7.0,0.2,0.16666666666666666,pow,0.2631578947368421,0.292494298572085
32,7.0,0.2,0.19999999999999998,exp,0.3333333333333333,0.38615079365079363
33,7.0,0.2,0.19999999999999998,pow,0.3333333333333333,0.3773495062514025
34,7.0,0.25,0.0001,exp,0.2631578947368421,0.30656966490299825
35,7.0,0.25,0.0001,pow,0.26969696969696966,0.28760141093474423
36,7.0,0.25,0.03333333333333333,exp,0.2727272727272727,0.3225372930606495
37,7.0,0.25,0.03333333333333333,pow,0.2857142857142857,0.2962922958989249
38,7.0,0.25,0.06666666666666667,exp,0.2857142857142857,0.3318315892104819
39,7.0,0.25,0.06666666666666667,pow,0.27636363636363637,0.2988699494949495
40,7.0,0.25,0.1,exp,0.29411764705882354,0.3344068894068894
41,7.0,0.25,0.1,pow,0.2727272727272727,0.29491692830978544
42,7.0,0.25,0.13333333333333333,exp,0.3076923076923077,0.3345982343300682
43,7.0,0.25,0.13333333333333333,pow,0.2727272727272727,0.296544943152086
44,7.0,0.25,0.16666666666666666,exp,0.3333333333333333,0.3466666666666667
45,7.0,0.25,0.16666666666666666,pow,0.2727272727272727,0.2964373897707231
46,7.0,0.25,0.19999999999999998,exp,0.3333333333333333,0.34612874779541447
47,7.0,0.25,0.19999999999999998,pow,0.2727272727272727,0.2967063492063492
48,7.0,0.25,0.23333333333333334,exp,0.3333333333333333,0.35581349206349205
49,7.0,0.25,0.23333333333333334,pow,0.28285714285714286,0.3024911816578483
50,7.0,0.3,0.0001,exp,0.25462962962962965,0.305643606834083
51,7.0,0.3,0.0001,pow,0.26666666666666666,0.2939844366224752
52,7.0,0.3,0.03333333333333333,exp,0.2727272727272727,0.31751343894201034
53,7.0,0.3,0.03333333333333333,pow,0.28285714285714286,0.3019898765606882
54,7.0,0.3,0.06666666666666667,exp,0.28,0.3246124906839192
55,7.0,0.3,0.06666666666666667,pow,0.2857142857142857,0.3002739720596863
56,7.0,0.3,0.1,exp,0.2903225806451613,0.33147444635333906
57,7.0,0.3,0.1,pow,0.2857142857142857,0.30436948582552975
58,7.0,0.3,0.13333333333333333,exp,0.2903225806451613,0.33732818139825055
59,7.0,0.3,0.13333333333333333,pow,0.28,0.2985629965330959
60,7.0,0.3,0.16666666666666666,exp,0.3090185676392573,0.3364136904761904
61,7.0,0.3,0.16666666666666666,pow,0.2727272727272727,0.2962483201322487
