,L,mu,theta,forget_func,jaccard_sim
0,1.0,0.4,0.05,exp,0.14285714285714285
1,1.0,0.4,0.05,pow,0.2
2,1.0,0.4,0.1,exp,0.15789473684210525
3,1.0,0.4,0.1,pow,0.2456896551724138
4,1.0,0.4,0.3,exp,0.23076923076923078
5,1.0,0.4,0.3,pow,0.2857142857142857
6,1.0,0.4,0.5,exp,0.0
7,1.0,0.4,0.5,pow,0.0
8,1.0,0.6,0.05,exp,0.14285714285714285
9,1.0,0.6,0.05,pow,0.16129032258064516
10,1.0,0.6,0.1,exp,0.14285714285714285
11,1.0,0.6,0.1,pow,0.17444219066937122
12,1.0,0.6,0.3,exp,0.16666666666666666
13,1.0,0.6,0.3,pow,0.2631578947368421
14,1.0,0.6,0.5,exp,0.23076923076923078
15,1.0,0.6,0.5,pow,0.3103448275862069
16,1.0,0.8,0.05,exp,0.14285714285714285
17,1.0,0.8,0.05,pow,0.14285714285714285
18,1.0,0.8,0.1,exp,0.14285714285714285
19,1.0,0.8,0.1,pow,0.14285714285714285
20,1.0,0.8,0.3,exp,0.14285714285714285
21,1.0,0.8,0.3,pow,0.16954022988505746
22,1.0,0.8,0.5,exp,0.15268065268065267
23,1.0,0.8,0.5,pow,0.228287841191067
24,3.0,0.4,0.05,exp,0.228287841191067
25,3.0,0.4,0.05,pow,0.2727272727272727
26,3.0,0.4,0.1,exp,0.25
27,3.0,0.4,0.1,pow,0.28285714285714286
28,3.0,0.4,0.3,exp,0.2857142857142857
29,3.0,0.4,0.3,pow,0.2857142857142857
30,3.0,0.4,0.5,exp,0.0
31,3.0,0.4,0.5,pow,0.0
32,3.0,0.6,0.05,exp,0.21739130434782608
33,3.0,0.6,0.05,pow,0.25
34,3.0,0.6,0.1,exp,0.2222222222222222
35,3.0,0.6,0.1,pow,0.2649122807017544
36,3.0,0.6,0.3,exp,0.25
37,3.0,0.6,0.3,pow,0.2903225806451613
38,3.0,0.6,0.5,exp,0.2857142857142857
39,3.0,0.6,0.5,pow,0.3103448275862069
40,3.0,0.8,0.05,exp,0.20606060606060606
41,3.0,0.8,0.05,pow,0.22401433691756273
42,3.0,0.8,0.1,exp,0.2147562582345191
43,3.0,0.8,0.1,pow,0.23076923076923078
44,3.0,0.8,0.3,exp,0.2222222222222222
45,3.0,0.8,0.3,pow,0.25
46,3.0,0.8,0.5,exp,0.23607427055702918
47,3.0,0.8,0.5,pow,0.2857142857142857
48,5.0,0.4,0.05,exp,0.2631578947368421
49,5.0,0.4,0.05,pow,0.2727272727272727
50,5.0,0.4,0.1,exp,0.26666666666666666
51,5.0,0.4,0.1,pow,0.2857142857142857
52,5.0,0.4,0.3,exp,0.3021739130434783
53,5.0,0.4,0.3,pow,0.2922201138519924
54,5.0,0.4,0.5,exp,0.0
55,5.0,0.4,0.5,pow,0.0
56,5.0,0.6,0.05,exp,0.25
57,5.0,0.6,0.05,pow,0.2727272727272727
58,5.0,0.6,0.1,exp,0.25
59,5.0,0.6,0.1,pow,0.2727272727272727
60,5.0,0.6,0.3,exp,0.2727272727272727
61,5.0,0.6,0.3,pow,0.3076923076923077
62,5.0,0.6,0.5,exp,0.2922201138519924
63,5.0,0.6,0.5,pow,0.3103448275862069
64,5.0,0.8,0.05,exp,0.25
65,5.0,0.8,0.05,pow,0.25
66,5.0,0.8,0.1,exp,0.25
67,5.0,0.8,0.1,pow,0.25
68,5.0,0.8,0.3,exp,0.25
69,5.0,0.8,0.3,pow,0.2727272727272727
70,5.0,0.8,0.5,exp,0.2631578947368421
71,5.0,0.8,0.5,pow,0.2857142857142857
72,7.0,0.4,0.05,exp,0.2727272727272727
73,7.0,0.4,0.05,pow,0.2857142857142857
74,7.0,0.4,0.1,exp,0.2727272727272727
75,7.0,0.4,0.1,pow,0.2857142857142857
76,7.0,0.4,0.3,exp,0.3333333333333333
77,7.0,0.4,0.3,pow,0.29411764705882354
78,7.0,0.4,0.5,exp,0.0
79,7.0,0.4,0.5,pow,0.0
80,7.0,0.6,0.05,exp,0.2631578947368421
81,7.0,0.6,0.05,pow,0.2727272727272727
82,7.0,0.6,0.1,exp,0.26969696969696966
83,7.0,0.6,0.1,pow,0.28285714285714286
84,7.0,0.6,0.3,exp,0.2857142857142857
85,7.0,0.6,0.3,pow,0.3060200668896321
86,7.0,0.6,0.5,exp,0.3090185676392573
87,7.0,0.6,0.5,pow,0.3103448275862069
88,7.0,0.8,0.05,exp,0.25
89,7.0,0.8,0.05,pow,0.26666666666666666
90,7.0,0.8,0.1,exp,0.25
91,7.0,0.8,0.1,pow,0.2631578947368421
92,7.0,0.8,0.3,exp,0.26666666666666666
93,7.0,0.8,0.3,pow,0.2727272727272727
94,7.0,0.8,0.5,exp,0.2727272727272727
95,7.0,0.8,0.5,pow,0.2857142857142857
96,9.0,0.4,0.05,exp,0.2727272727272727
97,9.0,0.4,0.05,pow,0.2857142857142857
98,9.0,0.4,0.1,exp,0.2857142857142857
99,9.0,0.4,0.1,pow,0.28801843317972353
100,9.0,0.4,0.3,exp,0.3333333333333333
101,9.0,0.4,0.3,pow,0.29411764705882354
102,9.0,0.4,0.5,exp,0.0
103,9.0,0.4,0.5,pow,0.0
104,9.0,0.6,0.05,exp,0.2727272727272727
105,9.0,0.6,0.05,pow,0.2727272727272727
106,9.0,0.6,0.1,exp,0.2727272727272727
107,9.0,0.6,0.1,pow,0.2857142857142857
108,9.0,0.6,0.3,exp,0.2857142857142857
109,9.0,0.6,0.3,pow,0.30434782608695654
110,9.0,0.6,0.5,exp,0.3103448275862069
111,9.0,0.6,0.5,pow,0.3103448275862069
112,9.0,0.8,0.05,exp,0.26666666666666666
113,9.0,0.8,0.05,pow,0.2727272727272727
114,9.0,0.8,0.1,exp,0.26666666666666666
115,9.0,0.8,0.1,pow,0.26969696969696966
116,9.0,0.8,0.3,exp,0.2727272727272727
117,9.0,0.8,0.3,pow,0.2727272727272727
118,9.0,0.8,0.5,exp,0.2727272727272727
119,9.0,0.8,0.5,pow,0.2903225806451613
120,11.0,0.4,0.05,exp,0.28285714285714286
121,11.0,0.4,0.05,pow,0.2857142857142857
122,11.0,0.4,0.1,exp,0.2903225806451613
