,L,mu,jaccard_sim,rbo,kendall_tau
11476,245.0,0.04539076305220884,0.40466510978450465,0.410689902333033,0.40733390182571005
11477,245.0,0.045591164658634546,0.4047838265263585,0.41065891464965976,0.407227322335731
11478,245.0,0.04579156626506024,0.4047838265263585,0.4107020869217701,0.4070914493911195
11479,245.0,0.04599196787148595,0.4050333685460003,0.4106250582460839,0.40692034016207995
11480,245.0,0.04619236947791165,0.40521846025052666,0.41069829773697203,0.406812110142618
11481,245.0,0.046392771084337356,0.40516539096740345,0.41038531228893804,0.4069572620598324
11482,245.0,0.04659317269076306,0.40516539096740345,0.4102535787576805,0.40641752106846857
11483,245.0,0.04679357429718876,0.40538652999634706,0.4103365621794459,0.4061538119869843
11484,245.0,0.04699397590361446,0.40538652999634706,0.4102604259482264,0.4058255734080643
11485,245.0,0.047194377510040166,0.4054757999940839,0.4102641779042658,0.4064400032308424
11486,245.0,0.04739477911646587,0.4054757999940839,0.4101642385817116,0.40569074872537975
11487,245.0,0.047595180722891574,0.40537803326549826,0.41018350039410995,0.40578009405686577
11488,245.0,0.04779558232931727,0.4051671702876972,0.41022705477750243,0.40635882833243314
11489,245.0,0.047995983935742975,0.4045782421369316,0.41012077003590763,0.4064058980620661
11490,245.0,0.04819638554216868,0.4050251346748655,0.41001953248665596,0.4062139339761497
11491,245.0,0.04839678714859438,0.4046627173513174,0.40959998929374825,0.40599516233601807
11492,245.0,0.04859718875502009,0.4046627173513174,0.40970675449021343,0.4059168727010412
11493,245.0,0.048797590361445785,0.40450682460552656,0.4098317544222619,0.4065615078981509
11494,245.0,0.04899799196787149,0.40467508979145955,0.40979485781983294,0.40643695781045364
11495,245.0,0.04919839357429719,0.40467508979145955,0.4097282000804488,0.4062619916477579
11496,245.0,0.0493987951807229,0.4046686834246292,0.40970464308007887,0.4064736331061245
11497,245.0,0.0495991967871486,0.4047943835042392,0.40967280800219846,0.4054864024795547
11498,245.0,0.049799598393574306,0.4047943835042392,0.409812751163343,0.40549572894658054
