,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
50,1.0,0.03448931,0.0179322,exp,0.25170578028059276,0.31417532175541785,0.25723649800929727
51,1.0,0.03448931,0.02069759,exp,0.2664663171376502,0.32663827225577524,0.27711500731272415
52,1.0,0.03448931,0.02414552,exp,0.2929074914149953,0.34182295209614416,0.3000228240808029
53,1.0,0.03448931,0.02759345,exp,0.32176676457621584,0.35961006186357003,0.31638194513918805
54,1.0,0.03448931,0.03104138,exp,0.3561166913728194,0.37794911284874144,0.34288873848821544
55,1.0,0.03448931,0.0333333333,exp,0.39324577760344315,0.40418345863311517,0.37772964802181486
56,1.0,0.03583051,0.0001,exp,0.18414500527497793,0.25981394281817405,0.17686924207661336
57,1.0,0.03583051,0.001,exp,0.19307556637155163,0.2676577318353752,0.18646369599392357
58,1.0,0.03583051,0.01035379,exp,0.22553612486860267,0.29396568057891626,0.23468331756369737
59,1.0,0.03583051,0.01380172,exp,0.23640101797328777,0.3011124928709938,0.2399824961717703
60,1.0,0.03583051,0.01724966,exp,0.24803217754110313,0.31069058827696217,0.24881362401318907
61,1.0,0.03583051,0.0179322,exp,0.2505455268450312,0.3120116030098025,0.2521946329050464
62,1.0,0.03583051,0.02069759,exp,0.2625778075581243,0.3227683229551554,0.270713727434891
63,1.0,0.03583051,0.02414552,exp,0.28428038236351943,0.3368016347344285,0.2916323109314721
64,1.0,0.03583051,0.02759345,exp,0.3141490763988599,0.35458802200416906,0.31082953933271557
65,1.0,0.03583051,0.03104138,exp,0.34143402198604633,0.36922620714977233,0.3339255187230785
66,1.0,0.03583051,0.0333333333,exp,0.37041948164956395,0.3870014057250895,0.3595190958823538
67,1.0,0.03583051,0.03448931,exp,0.3886226096853516,0.4011746443837694,0.37670674612286004
68,1.0,0.03583051,0.03486441,exp,0.3962220233940377,0.40894989893100425,0.3972589003949241
69,1.0,0.03793724,0.0001,exp,0.18378875667201985,0.2595786691782283,0.17636062873011044
70,1.0,0.03793724,0.001,exp,0.19253525380295433,0.2663177512920768,0.18080413515670432
71,1.0,0.03793724,0.01035379,exp,0.22236703208381461,0.29219603036466224,0.23455898403432354
72,1.0,0.03793724,0.01380172,exp,0.23363925810440359,0.2985400361242366,0.2346340852949855
73,1.0,0.03793724,0.01724966,exp,0.24366348195363763,0.30698492735146715,0.24674504172439896
74,1.0,0.03793724,0.0179322,exp,0.245999932850738,0.309269060216337,0.24659603575978747
75,1.0,0.03793724,0.02069759,exp,0.2564575419202705,0.3168770207095722,0.25996347631840483
76,1.0,0.03793724,0.02414552,exp,0.27425466011560484,0.3304457695118985,0.28197536835923015
77,1.0,0.03793724,0.02759345,exp,0.29829298591152975,0.3450323283908286,0.3055320561372206
78,1.0,0.03793724,0.03104138,exp,0.32741762493240867,0.36088784594735573,0.31600020896759096
79,1.0,0.03793724,0.0333333333,exp,0.3458511582911289,0.3707364848585823,0.33330492589130445
80,1.0,0.03793724,0.03448931,exp,0.36029990632284287,0.380097683142754,0.34909670360236056
81,1.0,0.03793724,0.03486441,exp,0.3628636400558231,0.38314659871650847,0.3568173164339754
82,1.0,0.04138517,0.0001,exp,0.1841058718301244,0.25980619129620974,0.17514503573826498
83,1.0,0.04138517,0.001,exp,0.19204404783361434,0.26540657567930814,0.17898647105744714
84,1.0,0.04138517,0.01035379,exp,0.21905754563054688,0.29084719276963483,0.23137209708484302
85,1.0,0.04138517,0.01380172,exp,0.22960685516249446,0.2958098132410321,0.23318848624606558
86,1.0,0.04138517,0.01724966,exp,0.23899202877243797,0.3026377445768531,0.24583374333544217
87,1.0,0.04138517,0.0179322,exp,0.24069033689938446,0.3043972620534519,0.25037622366428747
88,1.0,0.04138517,0.02069759,exp,0.2503486561428257,0.3121458305497115,0.25356060658846785
89,1.0,0.04138517,0.02414552,exp,0.2629414373231259,0.32356018062474873,0.27242968922931027
90,1.0,0.04138517,0.02759345,exp,0.280125017426439,0.3346599352333586,0.28808900611010196
91,1.0,0.04138517,0.03104138,exp,0.3045970499592301,0.3502787539267217,0.3116275010845341
92,1.0,0.04138517,0.0333333333,exp,0.3212085025181785,0.36004860991088217,0.31976407757162845
93,1.0,0.04138517,0.03448931,exp,0.33087781187593945,0.3628652577174054,0.31947249042626585
94,1.0,0.04138517,0.03486441,exp,0.33267525818205257,0.3641100735979356,0.32274975733197564
95,1.0,0.04138517,0.03793724,exp,0.36242126482181736,0.38104903572356075,0.35121526771260175
96,1.0,0.0448331,0.0001,exp,0.18368643280560695,0.2597619877608314,0.1750658913758107
97,1.0,0.0448331,0.001,exp,0.19112485527542417,0.2644035625701464,0.18129329506338474
98,1.0,0.0448331,0.01035379,exp,0.21803922677226656,0.28974370662733684,0.22709757603941705
99,1.0,0.0448331,0.01380172,exp,0.22705511997853575,0.2946514399167735,0.23523683301504308
100,1.0,0.0448331,0.01724966,exp,0.2359848316354356,0.3001955901108502,0.238037535390654
101,1.0,0.0448331,0.0179322,exp,0.2366367389707879,0.30122508308640733,0.2428852482443303
102,1.0,0.0448331,0.02069759,exp,0.244181694927681,0.3064379521418149,0.25102171308783944
103,1.0,0.0448331,0.02414552,exp,0.2546255072477877,0.3154830269413429,0.25670425644347145
104,1.0,0.0448331,0.02759345,exp,0.26906034762641723,0.32789161665321964,0.2792865241363772
105,1.0,0.0448331,0.03104138,exp,0.2876990470350257,0.33912519139379205,0.2964607306029754
106,1.0,0.0448331,0.0333333333,exp,0.30053072726668045,0.34698964730743154,0.30954886120790953
107,1.0,0.0448331,0.03448931,exp,0.31068572879104794,0.35362735110450927,0.31445552292860435
108,1.0,0.0448331,0.03486441,exp,0.3145257003145486,0.35415075227535303,0.31050965230139244
109,1.0,0.0448331,0.03793724,exp,0.33415229851371414,0.364791777312615,0.3208361933816867
110,1.0,0.0448331,0.04138517,exp,0.3654245447813976,0.3817199551781151,0.3492454036177876
111,1.0,0.05,0.0001,exp,0.1836331488300615,0.2594933199229949,0.17266145055871152
112,1.0,0.05,0.001,exp,0.18981274488491157,0.2638232379093393,0.17949710446729442
113,1.0,0.05,0.01035379,exp,0.2151000457670484,0.28596096540589944,0.22072786837751807
114,1.0,0.05,0.01380172,exp,0.22131294472687604,0.29144449901303515,0.23301867577651858
115,1.0,0.05,0.01724966,exp,0.23042669082034856,0.2961580406135883,0.23443620940409649
116,1.0,0.05,0.0179322,exp,0.23171409447985802,0.29696196689763205,0.233101814667562
117,1.0,0.05,0.02069759,exp,0.2371554754066095,0.30202601682489244,0.24374813059824862
118,1.0,0.05,0.02414552,exp,0.24615158550296062,0.3084394621488449,0.2530506708141371
119,1.0,0.05,0.02759345,exp,0.25602370108057926,0.3162670641650915,0.26027353888082216
120,1.0,0.05,0.03104138,exp,0.2687423823276154,0.3279408072033875,0.2805742447736529
121,1.0,0.05,0.0333333333,exp,0.27904428781741664,0.3341122130101342,0.28812820278602047
122,1.0,0.05,0.03448931,exp,0.2855523544845079,0.33722834265227275,0.2925920648365591
123,1.0,0.05,0.03486441,exp,0.28804882976113344,0.3397475672886945,0.29586609254155216
124,1.0,0.05,0.03793724,exp,0.30362552205009424,0.34907096694257694,0.3102249764115652
125,1.0,0.05,0.04138517,exp,0.326362396323002,0.3612413967883433,0.31752127919950157
126,1.0,0.05274576,0.0001,exp,0.18325305948667567,0.25940809557118477,0.17349511829135095
127,1.0,0.05274576,0.001,exp,0.18874514616896393,0.2630609724011481,0.18104546077674505
128,1.0,0.05274576,0.01035379,exp,0.21347158296736135,0.28594408504967117,0.2190205741503776
129,1.0,0.05274576,0.01380172,exp,0.21933322878244607,0.2910029784381286,0.2319906306715169
130,1.0,0.05274576,0.01724966,exp,0.2284441188115872,0.29499911895257325,0.2353530811234433
131,1.0,0.05274576,0.0179322,exp,0.229470182062857,0.2957214619396034,0.23529262387685415
132,1.0,0.05274576,0.02069759,exp,0.23571814814168188,0.30001886962088703,0.23750971460620043
133,1.0,0.05274576,0.02414552,exp,0.24300423617115358,0.3059401548222966,0.2501656817105449
134,1.0,0.05274576,0.02759345,exp,0.25180333399519145,0.3127614102716067,0.2552830000295218
135,1.0,0.05274576,0.03104138,exp,0.26184893245853635,0.3225845173857739,0.2739629457306534
136,1.0,0.05274576,0.0333333333,exp,0.27032544309594797,0.3289311250726306,0.28104403614760776
137,1.0,0.05274576,0.03448931,exp,0.2755628900140594,0.3315335356512673,0.28583418532110055
138,1.0,0.05274576,0.03486441,exp,0.2774978736293543,0.3324998412415485,0.28801718428561207
139,1.0,0.05274576,0.03793724,exp,0.2935557020868749,0.3423995269300091,0.30270796762012847
140,1.0,0.05274576,0.04138517,exp,0.3127632564332511,0.3525911112526628,0.31383498065510196
141,1.0,0.05274576,0.05179661,exp,0.4024951989108288,0.4126921728851887,0.41014423887466395
142,1.0,0.06966102,0.0001,exp,0.1831686458283798,0.25884603421849917,0.17238261353314177
143,1.0,0.06966102,0.001,exp,0.18803645410269645,0.2629459005988763,0.1776824386564984
144,1.0,0.06966102,0.01035379,exp,0.20579729299963515,0.2791803288784883,0.20211921119917692
145,1.0,0.06966102,0.01380172,exp,0.21303592020214132,0.2846271332750163,0.21667109330377804
146,1.0,0.06966102,0.01724966,exp,0.21784866432356018,0.2888791819654096,0.22454860090383136
147,1.0,0.06966102,0.0179322,exp,0.2185201364308782,0.2895725117347479,0.22778508750325713
148,1.0,0.06966102,0.02069759,exp,0.22329617304848337,0.29206924605973844,0.2324854155414131
149,1.0,0.06966102,0.02414552,exp,0.22857756540348145,0.2950689225856644,0.23472784016911444
150,1.0,0.06966102,0.02759345,exp,0.23470748763722363,0.2989134055240303,0.23415606637301023
151,1.0,0.06966102,0.03104138,exp,0.23953838591302373,0.3027848010124511,0.24443504116342735
152,1.0,0.06966102,0.0333333333,exp,0.24438985331654947,0.30651392388666904,0.2497375428040476
153,1.0,0.06966102,0.03448931,exp,0.24726385982409554,0.3079815395449281,0.24930297048627745
154,1.0,0.06966102,0.03486441,exp,0.2480997417063081,0.30841464280597275,0.24933947939560797
155,1.0,0.06966102,0.03793724,exp,0.2531870977889153,0.3132606015221535,0.25898934262948703
156,1.0,0.06966102,0.04138517,exp,0.26072996971556545,0.32032775909677985,0.26862921707097936
