,L,mu,theta,forget_func,jaccard_sim
0,10.0,0.2,0.1,exp,0.3333333333333333
1,10.0,0.2,0.13333333333333336,exp,0.3333333333333333
2,10.0,0.2,0.16666666666666669,exp,0.3333333333333333
3,10.0,0.2,0.2,exp,0.25
4,10.0,0.2,0.23333333333333336,exp,0.0
5,10.0,0.2,0.2666666666666667,exp,0.0
6,10.0,0.2,0.30000000000000004,exp,0.0
7,10.0,0.2,0.33333333333333337,exp,0.0
8,10.0,0.2,0.3666666666666667,exp,0.0
9,10.0,0.2,0.4,exp,0.0
10,10.0,0.25,0.1,exp,0.3090185676392573
11,10.0,0.25,0.13333333333333336,exp,0.3333333333333333
12,10.0,0.25,0.16666666666666669,exp,0.3333333333333333
13,10.0,0.25,0.2,exp,0.3333333333333333
14,10.0,0.25,0.23333333333333336,exp,0.3333333333333333
15,10.0,0.25,0.2666666666666667,exp,0.0
16,10.0,0.25,0.30000000000000004,exp,0.0
17,10.0,0.25,0.33333333333333337,exp,0.0
18,10.0,0.25,0.3666666666666667,exp,0.0
19,10.0,0.25,0.4,exp,0.0
20,10.0,0.3,0.1,exp,0.29411764705882354
21,10.0,0.3,0.13333333333333336,exp,0.3218390804597701
22,10.0,0.3,0.16666666666666669,exp,0.3333333333333333
23,10.0,0.3,0.2,exp,0.3333333333333333
24,10.0,0.3,0.23333333333333336,exp,0.3333333333333333
25,10.0,0.3,0.2666666666666667,exp,0.3333333333333333
26,10.0,0.3,0.30000000000000004,exp,0.125
27,10.0,0.3,0.33333333333333337,exp,0.0
28,10.0,0.3,0.3666666666666667,exp,0.0
29,10.0,0.3,0.4,exp,0.0
30,10.0,0.35,0.1,exp,0.2903225806451613
31,10.0,0.35,0.13333333333333336,exp,0.29411764705882354
32,10.0,0.35,0.16666666666666669,exp,0.3090185676392573
33,10.0,0.35,0.2,exp,0.3218390804597701
34,10.0,0.35,0.23333333333333336,exp,0.3333333333333333
35,10.0,0.35,0.2666666666666667,exp,0.3333333333333333
36,10.0,0.35,0.30000000000000004,exp,0.3333333333333333
37,10.0,0.35,0.33333333333333337,exp,0.3333333333333333
38,10.0,0.35,0.3666666666666667,exp,0.0
39,10.0,0.35,0.4,exp,0.0
40,10.0,0.4,0.1,exp,0.2857142857142857
41,10.0,0.4,0.13333333333333336,exp,0.2903225806451613
42,10.0,0.4,0.16666666666666669,exp,0.2922201138519924
43,10.0,0.4,0.2,exp,0.29705882352941176
44,10.0,0.4,0.23333333333333336,exp,0.3076923076923077
45,10.0,0.4,0.2666666666666667,exp,0.3333333333333333
46,10.0,0.4,0.30000000000000004,exp,0.3333333333333333
47,10.0,0.4,0.33333333333333337,exp,0.3333333333333333
48,10.0,0.4,0.3666666666666667,exp,0.3333333333333333
49,10.0,0.4,0.4,exp,0.16666666666666666
50,10.0,0.45,0.1,exp,0.28
51,10.0,0.45,0.13333333333333336,exp,0.2857142857142857
52,10.0,0.45,0.16666666666666669,exp,0.2903225806451613
53,10.0,0.45,0.2,exp,0.29411764705882354
54,10.0,0.45,0.23333333333333336,exp,0.29411764705882354
55,10.0,0.45,0.2666666666666667,exp,0.30434782608695654
56,10.0,0.45,0.30000000000000004,exp,0.3103448275862069
57,10.0,0.45,0.33333333333333337,exp,0.3333333333333333
58,10.0,0.45,0.3666666666666667,exp,0.3333333333333333
59,10.0,0.45,0.4,exp,0.3333333333333333
60,10.0,0.5,0.1,exp,0.28285714285714286
61,10.0,0.5,0.13333333333333336,exp,0.28
62,10.0,0.5,0.16666666666666669,exp,0.28285714285714286
63,10.0,0.5,0.2,exp,0.2857142857142857
64,10.0,0.5,0.23333333333333336,exp,0.2903225806451613
65,10.0,0.5,0.2666666666666667,exp,0.29411764705882354
66,10.0,0.5,0.30000000000000004,exp,0.3021739130434783
