,L,mu,theta,forget_func,jaccard_sim
106,9.0,0.6,0.1,exp,0.2701733656173755
107,9.0,0.6,0.1,pow,0.28011594713713045
108,9.0,0.6,0.3,exp,0.28491535353445413
109,9.0,0.6,0.3,pow,0.29422015512625516
110,9.0,0.6,0.5,exp,0.3013284398627048
111,9.0,0.6,0.5,pow,0.29830694073474084
112,9.0,0.8,0.05,exp,0.26211669466786686
113,9.0,0.8,0.05,pow,0.2650849508307218
114,9.0,0.8,0.1,exp,0.2645380514591614
115,9.0,0.8,0.1,pow,0.2679572379234735
116,9.0,0.8,0.3,exp,0.26931338033370433
117,9.0,0.8,0.3,pow,0.2756664991533502
118,9.0,0.8,0.5,exp,0.27720047584297036
119,9.0,0.8,0.5,pow,0.29101425248294943
120,11.0,0.4,0.05,exp,0.2812432686222852
121,11.0,0.4,0.05,pow,0.286321494493813
122,11.0,0.4,0.1,exp,0.28971890180332865
123,11.0,0.4,0.1,pow,0.2902662011073548
124,11.0,0.4,0.3,exp,0.31336603212928593
125,11.0,0.4,0.3,pow,0.2891275580814498
126,11.0,0.4,0.5,exp,0.003142183508941257
127,11.0,0.4,0.5,pow,0.05223576880950788
128,11.0,0.6,0.05,exp,0.27168372992235834
129,11.0,0.6,0.05,pow,0.27402817135314533
130,11.0,0.6,0.1,exp,0.27413556311010245
131,11.0,0.6,0.1,pow,0.28239165505483943
132,11.0,0.6,0.3,exp,0.28755034377372546
133,11.0,0.6,0.3,pow,0.2942213897384277
134,11.0,0.6,0.5,exp,0.30491868273115963
135,11.0,0.6,0.5,pow,0.29860367449532454
136,11.0,0.8,0.05,exp,0.2655534263095027
137,11.0,0.8,0.05,pow,0.2668693726279588
138,11.0,0.8,0.1,exp,0.2680189860928296
139,11.0,0.8,0.1,pow,0.2691381190821029
140,11.0,0.8,0.3,exp,0.27309768094831555
141,11.0,0.8,0.3,pow,0.27761142103058895
142,11.0,0.8,0.5,exp,0.2803967241364692
143,11.0,0.8,0.5,pow,0.29371436881690627
144,13.0,0.4,0.05,exp,0.28654007462644276
