,L,mu,theta,forget_func,jaccard_sim,rbo
0,1.0,0.002,0.001,exp,0.23809523809523808,0.29932249989068177
1,1.0,0.018915254237288133,0.001,exp,0.1724137931034483,0.2633467295232001
2,1.0,0.018915254237288133,0.01793220338983051,exp,0.38461538461538464,0.39112861570247937
3,1.0,0.03583050847457627,0.001,exp,0.16666666666666666,0.25856090338233195
4,1.0,0.03583050847457627,0.01793220338983051,exp,0.23809523809523808,0.3018982431578162
5,1.0,0.03583050847457627,0.03486440677966102,exp,0.38461538461538464,0.3963106048035574
6,1.0,0.0527457627118644,0.001,exp,0.16666666666666666,0.2566070562654805
7,1.0,0.0527457627118644,0.01793220338983051,exp,0.2,0.29470199120592516
8,1.0,0.0527457627118644,0.03486440677966102,exp,0.2631578947368421,0.3307617824788155
9,1.0,0.0527457627118644,0.051796610169491525,exp,0.38461538461538464,0.39642978549228547
10,1.0,0.06966101694915254,0.001,exp,0.16666666666666666,0.2578472216292729
11,1.0,0.06966101694915254,0.01793220338983051,exp,0.2,0.27777777777777773
12,1.0,0.06966101694915254,0.03486440677966102,exp,0.23443223443223443,0.3014743823417985
13,1.0,0.06966101694915254,0.051796610169491525,exp,0.2857142857142857,0.3352367611883183
14,1.0,0.06966101694915254,0.06872881355932203,exp,0.391304347826087,0.38956034045319754
15,1.0,0.08657627118644068,0.001,exp,0.16666666666666666,0.25703593415131876
16,1.0,0.08657627118644068,0.01793220338983051,exp,0.2,0.2775851623386225
17,1.0,0.08657627118644068,0.03486440677966102,exp,0.20606060606060606,0.29470199120592516
18,1.0,0.08657627118644068,0.051796610169491525,exp,0.25,0.31885561357955583
19,1.0,0.08657627118644068,0.06872881355932203,exp,0.30434782608695654,0.34322916666666664
20,1.0,0.08657627118644068,0.08566101694915254,exp,0.4,0.39636904761904757
21,1.0,0.1034915254237288,0.001,exp,0.1639784946236559,0.25703593415131876
22,1.0,0.1034915254237288,0.01793220338983051,exp,0.1875,0.27329664383235813
23,1.0,0.1034915254237288,0.03486440677966102,exp,0.2,0.2859303350970017
24,1.0,0.1034915254237288,0.051796610169491525,exp,0.23076923076923078,0.29841670998883885
25,1.0,0.1034915254237288,0.06872881355932203,exp,0.25,0.32475807501192655
26,1.0,0.1034915254237288,0.08566101694915254,exp,0.3103448275862069,0.34444444444444444
27,1.0,0.1034915254237288,0.10259322033898305,exp,0.4,0.3948919817781425
28,1.0,0.12040677966101694,0.001,exp,0.1639784946236559,0.25757916406954867
29,1.0,0.12040677966101694,0.01793220338983051,exp,0.17914438502673796,0.27329664383235813
30,1.0,0.12040677966101694,0.03486440677966102,exp,0.2,0.27777777777777773
31,1.0,0.12040677966101694,0.051796610169491525,exp,0.20606060606060606,0.2956032572170813
32,1.0,0.12040677966101694,0.06872881355932203,exp,0.2413793103448276,0.3081159382945097
33,1.0,0.12040677966101694,0.08566101694915254,exp,0.2727272727272727,0.3333333333333333
34,1.0,0.12040677966101694,0.10259322033898305,exp,0.3333333333333333,0.3466666666666667
35,1.0,0.12040677966101694,0.11952542372881356,exp,0.38461538461538464,0.38996294109930474
36,1.0,0.13732203389830508,0.001,exp,0.1639784946236559,0.25757916406954867
37,1.0,0.13732203389830508,0.01793220338983051,exp,0.17444219066937122,0.2708333333333333
38,1.0,0.13732203389830508,0.03486440677966102,exp,0.2,0.27719005531505525
39,1.0,0.13732203389830508,0.051796610169491525,exp,0.2,0.2863668430335097
40,1.0,0.13732203389830508,0.06872881355932203,exp,0.21980676328502413,0.29545361146034654
41,1.0,0.13732203389830508,0.08566101694915254,exp,0.25,0.3111590633732635
42,1.0,0.13732203389830508,0.10259322033898305,exp,0.2727272727272727,0.3353277003417574
43,1.0,0.13732203389830508,0.11952542372881356,exp,0.3333333333333333,0.3470805457169094
44,1.0,0.13732203389830508,0.13645762711864406,exp,0.38461538461538464,0.38264155115717613
45,1.0,0.1542372881355932,0.001,exp,0.16129032258064516,0.25563988095238094
46,1.0,0.1542372881355932,0.01793220338983051,exp,0.1724137931034483,0.2708333333333333
47,1.0,0.1542372881355932,0.03486440677966102,exp,0.2,0.27719005531505525
48,1.0,0.1542372881355932,0.051796610169491525,exp,0.2,0.283357266532007
49,1.0,0.1542372881355932,0.06872881355932203,exp,0.21428571428571427,0.29470199120592516
50,1.0,0.1542372881355932,0.08566101694915254,exp,0.23076923076923078,0.29821199003017185
