,beta,jaccard_sim,rbo
0,2.647514962691762e-287,0.3374943596415244,0.3643196526856257
1,2.6383681938100537e-237,0.3374943596415244,0.3643196526856257
2,5.646680062513505e-217,0.3374943596415244,0.3643196526856257
3,2.439572672531502e-185,0.3374943596415244,0.3643196526856257
4,4.143867422277281e-151,0.3374943596415244,0.3643196526856257
5,7.789107125911535e-149,0.3374943596415244,0.3643196526856257
6,6.4784453406616425e-139,0.3374943596415244,0.3643196526856257
7,1.1929991392173791e-133,0.3374943596415244,0.3643196526856257
8,2.2514361302243263e-129,0.3374943596415244,0.3643196526856257
9,2.612530896292051e-126,0.3374943596415244,0.3643196526856257
10,1.0313961571360066e-116,0.3374943596415244,0.3643196526856257
11,3.0622479979044803e-114,0.3374943596415244,0.3643196526856257
12,1.9263881896988836e-112,0.3374943596415244,0.3643196526856257
13,3.9878045058897383e-104,0.3374943596415244,0.3643196526856257
14,5.246713160247179e-104,0.3374943596415244,0.3643196526856257
15,6.178966709244184e-101,0.3374943596415244,0.3643196526856257
16,1.1331620134184982e-99,0.3374943596415244,0.3643196526856257
17,4.322996483509121e-99,0.3374943596415244,0.3643196526856257
18,8.343889875165136e-96,0.3374943596415244,0.3643196526856257
19,1.4337044503837384e-93,0.3374943596415244,0.3643196526856257
20,3.0609340331970284e-92,0.3374943596415244,0.3643196526856257
21,5.547800135402625e-92,0.3374943596415244,0.3643196526856257
22,2.5892148764669734e-91,0.3374943596415244,0.3643196526856257
23,2.0107474025529744e-90,0.3374943596415244,0.3643196526856257
24,1.4414067462338195e-88,0.3374943596415244,0.3643196526856257
25,1.0909864334002654e-87,0.3374943596415244,0.3643196526856257
26,6.373980347698249e-85,0.3374943596415244,0.3643196526856257
27,5.820340380452935e-82,0.3374943596415244,0.3643196526856257
28,5.849414608610283e-80,0.3374943596415244,0.3643196526856257
29,1.2066819011028375e-79,0.3374943596415244,0.3643196526856257
30,3.3521627715779826e-77,0.3374943596415244,0.3643196526856257
31,3.972475933987455e-76,0.3374943596415244,0.3643196526856257
32,4.8815086909272704e-76,0.3374943596415244,0.3643196526856257
